filename,title,year,identifier,priority,family,why_related,acquisition,status,pages,bytes,sha256,source_url
"adaptive_deep_hjb_1907_05317.pdf","Adaptive Deep Learning for High-Dimensional Hamilton-Jacobi-Bellman Equations","2021","arXiv:1907.05317","P0","HJB_feedback","High-dimensional HJB value-gradient learning and real-time feedback ancestor","downloaded_arxiv_this_run","open_access_downloaded_verified","27","668436","e6e82dbbcdc0fc6036d06fe37f0aa1191d38f364351afb48ff0c2031cbd25b6a","https://arxiv.org/abs/1907.05317"
"analytic_ccbf_2509_14421.pdf","Perception-Integrated Safety Critical Control via Analytic Collision Cone Barrier Functions on 3D Gaussian Splatting","2025","arXiv:2509.14421","P1","native_GS_safety","Analytic GS collision-cone safety controller and full-body control comparison","preexisting_in_rw_verified","open_access_downloaded_verified","6","2798523","ef5f931b0bce0c99f1c4db936c3bb0bca6a000b6b26d20aefbdec83d8e37dd47","https://arxiv.org/abs/2509.14421"
"c2g_hof_highdim_2012_06023.pdf","Cost-to-Go Function Generating Networks for High Dimensional Motion Planning","2020","arXiv:2012.06023","P0","value_field_planning","Scene-to-cost-to-go network with seed-free gradient path generation","reused_verified_local_oa_copy","open_access_downloaded_verified","7","3330957","6bc89c38f7804f6cdc7ff622170ebbfdcb43621aa6e6bc5e679addf3fffd61c9","https://arxiv.org/abs/2012.06023"
"conflict_aware_2605_20566.pdf","Conflict-Aware Active Perception and Control in 3D Gaussian Splatting Fields via Control Barrier Functions","2026","arXiv:2605.20566","P1","native_GS_safety","Primitive and control constraint conflicts in GS fields","preexisting_in_rw_verified","open_access_downloaded_verified","9","2038389","1ab43a772b5272a54e8720a331cfd7950ad265fef88d01d411aac5cdbd3b730f","https://arxiv.org/abs/2605.20566"
"continuous_environment_fields_2111_13997.pdf","Learning Continuous Environment Fields via Implicit Functions","2021","arXiv:2111.13997","P1","value_field_planning","Continuous reaching-distance field between scene positions and goals","reused_verified_local_oa_copy","open_access_downloaded_verified","18","9149881","76f633852ab5f4497f56d96c6ab8abf681f47b2e43ff7ea57fc31bbbee5e18bd","https://arxiv.org/abs/2111.13997"
"deepreach_2011_02082.pdf","DeepReach: A Deep Learning Approach to High-Dimensional Reachability","2020","arXiv:2011.02082","P0","HJI_feedback","Neural high-dimensional HJI solution and feedback ancestor","reused_verified_local_oa_copy","open_access_downloaded_verified","9","536047","ca03fa0389cbeb73d407886e8634f4cda11d796632ec3b1ecdd4bde37c3b25c6","https://arxiv.org/abs/2011.02082"
"dinet_2206_01178.pdf","Discretization Invariant Networks for Learning Maps between Neural Fields","2022","arXiv:2206.01178","P0","representation_invariance","Finite-discretization error bounds and generic discretization-invariant baseline","reused_verified_local_oa_copy","open_access_downloaded_verified","36","9268584","84c1a17756584f5ab7178a23ffcba8457775bb5e239afa68989a7450e9c1be53","https://arxiv.org/abs/2206.01178"
"fastbridge_2607_01200.pdf","FastBridge: Closing the Model-Based Realization Gap in Safety Filters on 3D Gaussian Splatting for Fast Quadrotor Flight","2026","arXiv:2607.01200","P0","native_GS_UAV_safety","Closest full-quadrotor GS safety and execution-realization boundary","downloaded_arxiv_this_run","open_access_downloaded_verified","9","3016997","b4f615688b0cf0d31fa93ad50193ad4e42450aacf6f811391f763a6541e01506","https://arxiv.org/abs/2607.01200"
"foci_2505_08510.pdf","FOCI: Trajectory Optimization on Gaussian Splats","2025","arXiv:2505.08510","P0","native_GS_planning","Strong native Gaussian-overlap full-body trajectory-optimization baseline","reused_verified_local_oa_copy","open_access_downloaded_verified","8","12871459","ba291c044a414ea2e45589f3d5c45695895489508e669d5b626fdb061b16fff6","https://arxiv.org/abs/2505.08510"
"gaussian_particle_operator_2602_21551.pdf","From Basis to Basis: Gaussian Particle Representation for Interpretable PDE Operators","2026","arXiv:2602.21551","P2","Gaussian_operator_adjacency","Gaussian latent PDE basis inspiration; not a native-3DGS measure collision","reused_verified_local_oa_copy","open_access_downloaded_verified","16","9784247","bb57b390907825ad531b9eeb0572553f01498dde18a8edf238ea8a176fb5daa1","https://arxiv.org/abs/2602.21551"
